"name","na_sales","eu_sales","jp_sales","other_sales","global_sales"
"",1.78,0.53,0.0,0.08,2.39
"Action",754.84,470.16,104.51,170.96,1501.21
"Adventure",83.41,47.9,15.02,12.93,159.28
"Fighting",185.99,83.67,44.58,31.77,346.07
"Misc",338.61,167.67,49.29,59.64,615.43
"Platform",391.8,180.8,102.05,47.02,721.8
"Puzzle",99.27,41.64,27.8,10.54,179.5
"Racing",297.47,203.04,42.06,69.0,611.57
"Role-Playing",303.91,173.23,237.23,53.24,767.48
"Shooter",543.08,295.92,21.74,98.05,959.15
"Simulation",162.62,105.11,36.42,27.8,332.1
"Sports",588.03,323.52,62.65,123.06,1097.72
"Strategy",55.58,38.05,7.94,8.69,110.54
